smiles,reagent_id,dhodh_activity,rorgt_activity,ds_1,ds_2
Nc1cccc(O)c1,549,0.380516916513443,0.5694048404693604,-5.3,-4.8
O=[N+]([O-])c1ccc(O)cc1,550,0.3937267363071441,0.5688574314117432,-6.3,-5.6
Cc1ccc(O)cc1,560,0.3818385601043701,0.5679935216903687,-5.6,-5.2
Cc1cccc(O)c1,561,0.3851988315582275,0.5617379546165466,-5.6,-5.2
Cc1ccccc1O,562,0.3889368176460266,0.5689972639083862,-5.6,-5.2
Oc1ccc(F)cc1,564,0.3857777714729309,0.5625717043876648,-5.5,-5.0
Oc1ccccc1,566,0.3768329322338104,0.5623915195465088,-5.2,-4.6
Cc1cccc(C)c1O,567,0.3966547846794128,0.5677195191383362,-6.0,-5.7
Oc1cccc(Br)c1,568,0.3863667845726013,0.5602022409439087,-5.4,-5.0
N#Cc1ccc(O)cc1,571,0.3938882350921631,0.5650213956832886,-5.8,-5.1
Oc1cccc(Cl)c1,572,0.3899874091148376,0.5579413771629333,-5.4,-4.9
O=[N+]([O-])c1ccccc1O,573,0.3942855894565582,0.5665676593780518,-6.0,-5.5
Oc1ccccc1-c1ccccc1,574,0.3594374060630798,0.5741055011749268,-8.7,-7.5
Oc1ccc2c(c1)OCO2,576,0.384837657213211,0.5718297958374023,-6.1,-5.6
Oc1ccc(Cl)cc1Cl,579,0.399309754371643,0.5633707642555237,-5.5,-5.3
OCCBr,583,0.4579966366291046,0.5370460748672485,-3.2,-2.8
CCBr,584,0.4632814824581146,0.5533474683761597,-2.5,-2.3
CC(C)I,589,0.4402647912502289,0.5632430911064148,-3.0,-3.0
CCCI,590,0.4489737153053283,0.5609214901924133,-3.1,-3.0
CCCCCl,592,0.4443530142307281,0.5571035742759705,-3.5,-3.4
CCCCBr,593,0.4456566572189331,0.5560921430587769,-3.5,-3.4
CCCCI,594,0.4408259689807892,0.5604537129402161,-3.6,-3.4
CC(C)CBr,595,0.4522034823894501,0.5567253232002258,-3.7,-3.8
CCCCCBr,599,0.4420428276062011,0.5565952062606812,-4.0,-3.8
CC(C)CCBr,600,0.442941278219223,0.555260181427002,-4.1,-4.2
CCCCCCBr,602,0.4385217130184173,0.5564610362052917,-4.4,-4.3
CCCCCCCCl,604,0.4347048997879028,0.55672287940979,-4.7,-4.4
CCCCCCCCCl,605,0.4326331913471222,0.5563433170318604,-5.0,-4.8
CCCCCCCCI,606,0.4310320615768432,0.5585291981697083,-5.0,-4.7
CCCCCCCCCCBr,607,0.4306617081165313,0.5550264716148376,-5.4,-5.3
