smiles,reagent_id,EGFR_activity,MET_activity,ds_1,ds_2
COc1cc(C)cc(C=O)c1O,3006311,0.584846806526184,0.73681381046772,-5.2,-5.4
COc1cc(C=O)c(O)cc1C,3006314,0.5887159645557404,0.7818551659584045,-5.4,-5.6
Sc1ncco1,3006340,0.5108275413513184,0.7701563239097595,-3.0,-3.3
O=C(O)c1nccc2ncccc12,3006694,0.519458444416523,0.5576608151197433,-5.7,-6.2
CC(C)CC[C@H](N)C(=O)O,3006708,0.5749358117580414,0.8905126392841339,-4.9,-4.9
Oc1cccc2ocnc12,3006720,0.6437534689903259,0.510009779036045,-5.5,-5.9
N#Cc1cncs1,3006759,0.6041233390569687,0.862868320941925,-3.3,-3.5
Clc1nc(Cl)c2cc[nH]c2n1,3006844,0.2032368145883083,0.9361034512519836,-5.6,-6.0
Oc1c(F)ccc2ccccc12,3006879,0.7511394917964935,0.8337545216083526,-7.0,-6.9
NNc1cccnc1,3006902,0.8781318366527557,0.9570805907249452,-5.0,-5.0
Fc1cccc(F)c1CS,3006932,0.7559788882732391,0.9985893845558168,-5.0,-5.6
O=Cc1cc2cc(Cl)ccc2[nH]1,3006982,0.7932147979736328,0.9343858361244202,-5.8,-6.4
CNCc1cc2ccccc2n1C,3007003,0.9763477504253388,0.9931799530982972,-5.9,-6.2
N#Cc1cccc(-c2cccnc2)c1,3007054,0.5057499632239342,0.7115937978029251,-6.7,-7.3
N#Cc1ccc(C2CC2)cc1,3007108,0.8749613344669342,0.9729968965053558,-5.3,-6.2
Sc1nnco1,3007288,0.6832375288009643,0.8314805835485458,-2.9,-3.4
Nc1c(F)ccc(F)c1N,3007717,0.8858167290687561,0.9946017742156984,-5.4,-5.5
Nc1cc(Cl)c(F)cc1F,3007718,0.830749386548996,0.999473601579666,-5.8,-6.1
Nc1ccc2c(c1)NC(=O)CC2,3007747,0.3993589628487825,0.9149968266487122,-6.4,-6.8
N#Cc1ccc2[nH]cnc2c1,3007773,0.519082310795784,0.7037540793418884,-5.3,-5.8
CC(F)(F)C(N)C(=O)O,3007823,0.5309388432651758,0.9346489429473877,-4.5,-4.9
Oc1ccc2c(c1)NCCO2,3007837,0.5695814415812492,0.9360956311225892,-6.0,-6.0
