smiles,pik3ca_activity,mtor_activity
O=C1/C(=C/c2c[nH]c3ccccc23)Oc2cc(O)cc(O)c21,1.0,1.0
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.0,1.0
CC(=O)Nc1nc2ccc(-c3cncc4ccccc34)cn2n1,0.0,
CNc1cc(-c2c(Nc3cc[nH]n3)nc3cccnn23)nc(C)n1,1.0,1.0
CN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)nc(O)n1,0.0,
Cc1nc(N)cc2c1cc(-c1cnc3[nH]ncc3c1)c(=O)n2C1CCCC1,1.0,
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(F)c2)s1,1.0,
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3sccc3n2)cc1,1.0,1.0
Cc1nc(Nc2cnn(C3CCOC3)c2)cc(-c2c(Nc3ccn[nH]3)nc3cccnn23)n1,1.0,1.0
Cc1cc(-c2cccnc2Nc2cccc(O)c2)nc(N)n1,1.0,
CC(=O)Nc1nc2ccc(-c3ccnc(Nc4ccccc4)n3)cc2s1,1.0,
C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)C(=O)C[C@H]2OC(=O)CCC(=O)O)CCC4=O,1.0,
CC(=O)N(C)Cc1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,1.0,
Oc1cccc(-c2cc(Nc3cnc4ccccc4c3)nc(N3CCOCC3)n2)c1,1.0,
CCNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,1.0,1.0
COC(C)(C)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,1.0,1.0
Cc1nc(N)nc(-c2cccnc2Nc2cnc(Cl)c(NS(=O)(=O)N(C)C)c2)n1,1.0,
O=C(c1ccc(C(=O)C(F)(F)F)cc1)N1CCOc2ccc(-c3cnc4ccccc4c3)cc2C1,1.0,
Cc1nc(N)cc2c1cc(-c1cnc3[nH]ccc3c1)c(=O)n2C1CCCC1,1.0,1.0
CNCCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(OC)nc(N4CCOCC4)n3)cc2)cc1,1.0,1.0
COc1ccc(-c2cc3c(C)nc(N)cc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,1.0,1.0
COc1ccc(-c2cc3c(C)nc(N)cc3n(C3CCC(OCCO)CC3)c2=O)cn1,1.0,1.0
Nc1ncc(-c2cn3cc(C(=O)NC4CCOCC4)nc3c(N3CCOCC3)n2)cn1,1.0,1.0
Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,1.0,1.0
COc1cccc(Nc2nc(-c3cccc(OC)c3)nc3c2cnn3C)c1,1.0,
Nc1ncc(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)c(N)n1,1.0,
NC(=O)[C@@H]1CCCN1C(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1,1.0,
Nc1nc2cc(-c3cncc(S(N)(=O)=O)c3)ccn2n1,0.0,
O=c1cc(N2CCOCC2)nc2n(Cc3ccc(F)c(Cl)c3)ccn12,1.0,
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3ccn(CC(F)(F)F)c3n2)cc1,1.0,1.0
