smiles,egfr_activity,met_activity
CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2CCC(N)=O,1.0,1.0
CCCS(=O)(=O)Nc1ccc(-c2ccc3[nH]nc(NC(C)=O)c3c2)cc1,1.0,1.0
Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1,1.0,1.0
NC(COc1cncc(-c2cc3cnccc3s2)c1)Cc1c[nH]c2ccccc12,1.0,1.0
FC(F)(F)c1ccc(-c2nnc3ccc(NC4CC4)nn23)cc1,1.0,1.0
c1cc2[nH]ncc2cc1-c1cn(CC2CCOCC2)nn1,1.0,1.0
Cc1ccccc1NC(=O)Nc1ccc(-c2coc3ncnc(N)c23)cc1,1.0,1.0
CCc1ccc(-c2ccc3c(c2)-c2[nH]ncc2S(=O)(=O)N3C)cc1,1.0,1.0
NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1C(F)(F)F,1.0,1.0
O=C(NCCCCCCNC(=O)Nc1cccnc1)Nc1cccnc1,1.0,1.0
Nc1ncnc2c1sc1ncnc(N)c12,1.0,1.0
Nc1ncnc(Nc2cc(CNC(=O)C(F)(F)F)c(O)c(-c3ccc(Cl)cc3)c2)n1,1.0,1.0
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,1.0,1.0
CCOc1nc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc(N)c1C#N,1.0,1.0
CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,1.0,1.0
O=C(NCc1ccccc1)c1cccc(-c2cnc3[nH]ccc3c2)c1,1.0,1.0
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(=O)O)s3)c2cc1OC,1.0,1.0
O=C1CCCN1Cc1ccc2c(c1)nc(O)c1cccn12,1.0,1.0
O=C(Nc1ccc(-c2cccc3sncc23)cc1)Nc1ccc(F)c(C(F)(F)F)c1,1.0,1.0
O=C(Nc1ccc2n[nH]cc2c1)c1ccc(Cl)cc1,1.0,1.0
O=C(NC(CO)Cc1ccccc1)c1ccc(-c2ccncc2)cc1F,1.0,1.0
Cc1cccc(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1C,1.0,1.0
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)Nc3nc[nH]n3)cc12,1.0,1.0
c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,1.0,1.0
Nc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1cccc(Cl)c1,1.0,1.0
COc1cc(C=C2SC(=Nc3ccccc3)NC2=O)ccc1O,1.0,1.0
NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,1.0,1.0
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)cc2)c1,1.0,1.0
CNC(=O)C=Cc1cnc(N)c2c(-c3ccc4c(c3)OCO4)csc12,1.0,1.0
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,1.0,1.0
