smiles,reagent_id,gsk3b_activity,jnk3_activity,ds_1,ds_2
CC(=O)N1CCNCC1,702,0.0729680647921033,0.0007576508712515,-4.6,-4.9
O=C(c1ccccc1)c1ccc(F)cc1,706,0.0004650292336842,0.0010002190458749,-7.7,-8.3
Oc1cccc(F)c1,707,0.0017376765991571,2.741923119669743e-05,-4.8,-5.0
O=C(O)c1ccc([N+](=O)[O-])cc1,708,0.0003209925128011,0.0005520764909367,-6.1,-6.1
NCCCCCCN,712,0.5522845204861369,0.0290828442776756,-3.9,-3.8
O=C(O)c1cccc(Cl)c1,721,6.70363243579165e-05,0.0001178441766447,-5.6,-5.9
O=C(O)C(F)F,723,0.0045417575284311,0.0053930162804053,-3.2,-3.4
Oc1cccc2ccccc12,724,0.0104803668438762,0.0054899367011154,-6.8,-6.8
O=[N+]([O-])c1cccc(C=NO)c1,725,0.0021925799804641,0.0108835807361174,-5.9,-6.2
O=S(=O)(Cl)c1ccccc1,726,0.0017231261814487,0.0077722368004288,-5.3,-5.7
Cc1ncc[nH]1,729,2.6390988600217264e-06,1.4915202021339492e-06,-3.3,-3.2
BrCc1ccc(Br)cc1,730,0.0003994567693118,0.0001213660536102,-5.4,-5.4
CC(C)(C)N,735,9.517196077951692e-06,0.0001843662249994,-3.0,-2.8
CCC(=O)O,738,8.399854153203637e-05,0.0002588399557177,-3.0,-3.2
CC(O)C(=O)O,740,0.0026646748032227,0.1242444627679503,-3.2,-3.4
CNc1ccc([N+](=O)[O-])cc1,748,0.0003951981408637,0.0005807254524256,-5.6,-5.7
Nc1ccc(Oc2ccccc2)cc1,752,0.0024628745135657,0.000390135242132,-6.6,-7.3
Nc1cccc(S(=O)(=O)Nc2cccc(Cl)c2)c1,755,0.0004474425347638,0.0001807090315466,-7.5,-7.3
Nc1ccc(-c2ccc(N)cc2)cc1,758,0.1060589075685129,0.0833919302854567,-7.2,-7.2
Nc1ccccc1F,760,0.0004188837139542,6.703353373962474e-05,-4.8,-5.1
Cc1c(N)cccc1Cl,761,0.0001481816451492,4.288995266298949e-05,-5.5,-5.6
Nc1ccc(Cl)cc1Cl,762,0.0003785911254435,0.0003285880412991,-5.3,-5.2
NC1=NCCS1,770,7.931197514416954e-05,3.5058487579298404e-05,-3.3,-3.4
CCCCN,772,0.0005469825375947,1.446048000711364e-06,-3.0,-3.4
CN1CCN(N)CC1,775,2.6095530990779408e-06,9.724421936614589e-07,-3.6,-3.8
CC1CCCC(C)N1,776,4.885632025146688e-07,1.0728674313629816e-08,-4.6,-4.7
CC1CNCC(C)C1,777,2.765750350140366e-09,7.813994665220736e-12,-4.6,-4.6
NCc1ccccn1,778,0.0013555058919269,1.6392887938200338e-05,-4.3,-4.7
NCc1cccnc1,782,0.1086194421444815,7.140503028412468e-06,-4.3,-4.6
